id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
33250560,(X9) Back Bay- Simple Little Studio,21184200,AirbnbQueen,,Back Bay,42.3522,-71.07786,Entire home/apt,90,1,86,2021-01-01,3.98,26,30
33253369,"Brighton, MA Guesthouse for rent, Unit 1B (1st Fl)",166004722,Wang,,Brighton,42.35778,-71.15793,Private room,50,91,0,,,5,276
33265824,Stunning 3BD/3BA in Jamaica Plain,212359760,Evonify,,Jamaica Plain,42.32202,-71.10381,Entire home/apt,118,1,33,2020-04-05,1.51,38,0
33317621,DOWNTOWN BOSTON / UMASS BOSTON / PRIVATE ROOM,248657295,Shahnaz,,Dorchester,42.31055,-71.05641,Private room,75,91,6,2019-10-21,0.27,8,365
33318392,DOWNTOWN BOSTON/ UMASS BOSTON/ PRIVATE BEDROOM,248657295,Shahnaz,,Dorchester,42.31237,-71.05705,Private room,75,91,11,2019-11-05,0.50,8,365
33319774,DOWNTOWN BOSTON / UMASS BOSTON / PRIVATE BEDROOM,248657295,Shahnaz,,Dorchester,42.31226,-71.05675,Private room,75,91,12,2019-10-14,0.54,8,365
33328211,Beacon Hill Apartment,42942947,Endika,,Beacon Hill,42.36046,-71.06551,Entire home/apt,121,91,22,2019-11-12,1.02,1,0
33345730,New 2 Bed - Heart of Downtown - Hynes / Prudential,133927887,Kat,,Back Bay,42.34475,-71.0837,Entire home/apt,250,91,10,2019-08-24,0.50,14,0
33347860,DOWNTOWN BOSTON / UMASS BOSTON / PRIVATE BEDROOM,248657295,Shahnaz,,Dorchester,42.31215,-71.05671,Private room,89,91,8,2019-10-20,0.38,8,365
33348585,DOWNTOWN BOSTON / UMASS BOSTON / PRIVATE BEDROOM,248657295,Shahnaz,,Dorchester,42.31287,-71.05567,Private room,75,91,11,2019-10-28,0.50,8,365
33350922,DOWNTOWN BOSTON / UMASS BOSTON / PRIVATE BEDROOM,248657295,Shahnaz,,Dorchester,42.31091,-71.05582,Private room,75,91,4,2019-10-21,0.18,8,365
33351261,DOWNTOWN BOSTON / UMASS  BOSTON / PRIVATE BEDROOM,248657295,Shahnaz,,Dorchester,42.3111,-71.05676,Private room,75,91,10,2019-11-04,0.45,8,365
33351298,Standard King Room,261039449,Studio Allston Hotel,,Brighton,42.36417,-71.13637,Hotel room,139,1,18,2020-03-29,1.29,6,338
33351516,Standard Queen Room with Two Queen Beds,261039449,Studio Allston Hotel,,Brighton,42.36417,-71.13637,Hotel room,149,1,1,2019-08-21,0.06,6,338
33351519,Studio,261039449,Studio Allston Hotel,,Brighton,42.36417,-71.13637,Hotel room,169,1,0,,,6,338
